Whisper Transcription,Actual Label,Word Error Rate
"The hedge, which he started building on March 3, cost him roughly 27 million and scored big as stock and debt. Market floundered on fears of coming pandemic, fears, critics say, that he helped stock full stock.","The hedge, which he started building on March 3, cost him roughly 27 million and scored big as stock and debt markets floundered on fears of the coming pandemic  fears, critics say, that he helped stoke.",0.1944
którą perm a,Man jailed 12 months for assaulting former wife who refused to reconcilePolice welfare has become a critical issue here.,0.9474
"Patients family members Ogechukwu, Jibike and Adeubu showed up to the Habib Ward this morning looking for Rashida who passed away last night at Oyo Clinic on account of Atoneca disease.",Patient's family members Ogechukwu Jibike and Adaobu showed up to the Habib ward this morning looking for Rashidah who passed away last night at Oyo clinic on account of Otunneka disease,0.2581
The financial impact of the COVID-19 pandemic is worrisome for local sports organizations.,The financial impact of the COVID-19 pandemic is worrisome for local sport organizations.,0.0769
explain what happens to your property after a terminal acid sequence has been synthesized as full stop,explain what happens to a protein after its amino acid sequence has been synthesized.,0.5714
"Ake arrived at hospital Uzochukwu last night when missed day 22 September, 2027. Due to car accident at Papanginda Street, Fullstone.","Patient Ake arrived at Hospital Uzochukwu last night Wednesday 22 September, 2027 due to car accident at Babangida street.",0.5263
A didn't really hit bed shorts comma they just didn't go where I wanted full stop,"I didnt really hit bad shots, they just didnt go where I wanted.",0.6923
Are you serious? Question mark.,Are you serious?,0.6667
"Since the pandemic began in March, nearly two in five positive COVID cases have occurred in the last 10 days, an increase from 413 to 681 since June 3. According to the current Health Department,","Since the pandemic began in March, nearly two in five positive COVID-19 cases have occurred in the last 10 days  an increase from 413 to 681 since June 3, according to the county health department.",0.2
growth hormone hypersecretion in adults with causes of disease called HUSBOD.,Growth hormone hypersecretion in adulthood causes a disease called,0.5556
"While the vaccine so far submitted for approval seem to prevent people from getting sick, it is still unclear whether they prevent people from picking up the virus entirely, and crucially, passing into others for stop.","While the vaccines so far submitted for approval seem to prevent people from getting sick, it is still unclear whether they prevent people from picking up the virus entirely - and crucially - passing it to others.",0.2432
and normal blood smear full stop.,A normal blood smear.,1
E provides a steroid widely used in the treatment of rheumatoid arthritis for F full stop.,E Provides a steroid widely used in the treatment of rheumatoid arthritis5.,0.5
"It is the Dead Heights Peak in Romania, for still.",It is the third highest peak in Romania.,0.75
"increases in diameter only by growth, comma, the eddy shape of new surface in a mille, full stop.","A bone increases in diameter only by growth, the addition of new surface lamellae.",0.7143
A second power station was started in Anloga and Uluund in 1994 and began making electricity in 1955 full stop.,A 2nd power station was started in Anloga and Ulundi in 1994 and began making electricity in 1955.,0.2778
Let's start with the bunch from start.,Lets start with Dbanj.,1.25
Marli has been the assistant city administrator and a walker.,Mahli has been the assistant city administrator under Volkers.,0.4444
Tianchun is also the heart of China's car-making business full stop.,Changchun is also the heart of Chinas car-making business.,0.5556
Such dimensions are more impressive when we scale them up to the size of familiar objects full stop.,Such dimensions are more impressive when we scale them up to the size of familiar objects.,0.1875
"Proxyfen enhances the effect of both warfarin and sepamezapine and may increase the toxicity associated with both drugs, coma, such as bleeding and sedation, coma, respectively, full stop.","Propoxyphene enhances the effects of both war far in and carbamazepine and may increase the toxicity associated with both drugs, such as bleeding and sedation respectively.",0.4615
"The mistake many people make is that they give up the process with stream. Post-op. Commitment and consistency are key. Post-op. Once you start to vision, think, coma, meditation, coma, agitation, interaction, coma, you must keep it at its daily for at least 30 days. Post-op.","The mistake many people make is that they give up the process mid-stream. Commitment and consistency are key. Once you start visioning, meditation, affirmation and action, you must keep at it daily for at least 30 days.",0.4054
"Since taking over as press secretary, Kylie McEnney has frequently defended President Trump on Fox News and Twitter, although she has yet to hold a news briefing full stop.","Since taking over as press secretary, Kayleigh McEnany has frequently defended President Trump on Fox News and Twitter, although she has yet to hold a news briefing.",0.1852
"karate le, ni ma 오 magazine 2丶muni wa character тамambiera wje jaik guestsi. Hindoja ma technoulama, hopusiwewewewewewewewewewewebreu",Here is a 22 yr old food poisoning patient Nwabuisi Chidumaga who presented to clinic at 11am this morning,1
"In the Freeman Academy, Marion placed three players on the Great Plains Boys All Conference team after finishing second behind champion Melty. Full stop.",Freeman AcademyMarion placed three players on the Great Plains boys all-conference team after finishing second behind champion Marty.,0.5556
"B. In the timeness of an older adult, coma circulation is greatly reduced and most of the glandular tissue is replaced with fat and brow tissue. Full stop.","b In the thymus of an older adult, circulation is greatly reduced and most of the glandular tissue is replaced with fat and brous tissue.",0.24
"Again, Koma, the issue of power supply is a problem. Full stop.","Again, the issue of power supply is a problem.",0.3333
"However, multiple students have shown that vitamin D deficiency can damage the immune function and increase the risk of developing respiratory disease.","However, multiple studies have shown that vitamin D deficiency can damage the immune function and increase the risk of developing respiratory diseases.",0.0909
"The U.S., which currently has between 12,000 and 18,000 trusts in Afghanistan, could draw that number down to 8,600 within months of the agreement being signed for Stoke.","The US, which currently has between 12,000 and 13,000 troops in Afghanistan, could draw that number down to 8,600 within months of the agreement being signed.",0.2308
"Thus, coma or mature differentiated tissue elements which comprise the bronchus are present in its but are jumbled up as a mass of dog","Thus, all mature differentiated tissue elements which comprise the bronchus are present in it but are jumbled upas a mass.",0.4
religious and philophysical views.,Religious and philosophical views,0.75
"London, Edward Arnold 13 edition 1992 3, 4, stop","London, Edward Arnold 13th edition1992 3.",1
Confeterate fire was so intense that both houses were shot away with dope.,Confederate fire was so intense that both hawsers were shot away.,0.4545
3. Her A and B is ranked in cross section comma whereas KD has C and D as attack post-op.,"Straight hair a and b is round in cross section, whereas curly hair c and d is atter.",0.7778
The conversation roughly translates as colon.,The conversation roughly translates as :,0.1667
"Whether to tape the drainage tubing over or under the leg depends on gravity, OW, patient's mobility, and comfort of the patient.","Whether to tape the drainage tubing over or under the leg depends on gravity flow, patients mobility, and comfort of the patient.",0.1364
"and she pointed to another correlation, colon, inflation, full stop.",And she pointed to another correlation: inflammation.,0.8571
"The Anglo-Indian dish chicken tikka masala was apparently invented in Glasgow in the early 1970s, while Ba'alti cuisine was introduced to Britain in 1977 in Birmingham, full stop.","The Anglo - Indian dish chicken tikka masala was apparently invented in Glasgow in the early 1970s , while balti cuisine was introduced to Britain in 1977 in Birmingham .",0.3
"In June 1962, the micro region of the HIT gene is frequently targeted for LOH in tumors. However, this association alone does not confirm tumor suppressor activity full stop.","62. The microregion of the FHIT gene is frequently targeted for LOH in tumors however, this association alone does not confirm tumor suppressor activity.",0.5
the drug is extensively perhaps as high as 97 bound to plasma proteins. This observation partially explains the lack of correlation between plasma drug levels and persistence of anti-hypertensive effect.,The drug is extensively perhaps as high as 97 bound to plasma proteins this observation partially explains the lack of correlation between plasma drug levels and persistence of anti hypertensive effect.,0.1613
